t,x,y,yaw,wz,cmd_w,phase
12.616666666,33.99925994873047,40.80006790161133,0.23156772394424502,0.28777655959129333,0.3,step_0.3
12.633333333,33.99922561645508,40.800106048583984,0.23624213152138626,0.28915321826934814,0.3,step_0.3
12.65,33.99919891357422,40.800106048583984,0.2409218776604222,0.2908746600151062,0.3,step_0.3
12.666666666,33.99913787841797,40.80012893676758,0.24562168964924833,0.2883894145488739,0.3,step_0.3
12.683333333,33.99908447265625,40.800106048583984,0.2503123215102283,0.28933581709861755,0.3,step_0.3
12.7,33.999019622802734,40.80011749267578,0.25500168211014806,0.28816673159599304,0.3,step_0.3
12.716666666,33.998924255371094,40.800201416015625,0.259686774243884,0.2872651517391205,0.3,step_0.3
12.733333333000001,33.99887466430664,40.8001594543457,0.26435336300956574,0.28898483514785767,0.3,step_0.3
12.75,33.99883270263672,40.8001594543457,0.2690367579296519,0.2874279022216797,0.3,step_0.3
12.766666666,33.99879455566406,40.80008316040039,0.27371180938295586,0.2902393043041229,0.3,step_0.3
12.783333333,33.99873352050781,40.800113677978516,0.278403875775014,0.28924474120140076,0.3,step_0.3
12.8,33.99869155883789,40.800113677978516,0.28309621701117205,0.2904609143733978,0.3,step_0.3
12.816666666,33.99870300292969,40.80005645751953,0.28778970123609215,0.2909378409385681,0.3,step_0.3
12.833333333,33.99869155883789,40.800079345703125,0.29249651205163374,0.29121118783950806,0.3,step_0.3
12.85,33.998695373535156,40.80009078979492,0.2972087936395753,0.2909676134586334,0.3,step_0.3
12.866666666,33.99867630004883,40.80010223388672,0.30192306684962633,0.28901147842407227,0.3,step_0.3
12.883333333,33.9986572265625,40.80013656616211,0.30662329990043097,0.28870144486427307,0.3,step_0.3
12.9,33.998626708984375,40.80011749267578,0.3113166992902944,0.289784699678421,0.3,step_0.3
12.916666666,33.99859619140625,40.80015182495117,0.31601930807271567,0.2891484498977661,0.3,step_0.3
12.933333333,33.99856185913086,40.80012893676758,0.32071113511019866,0.2879680097103119,0.3,step_0.3
